ÁöÁ¡,ÀÏœÃ,±âŸÐ(hPa),°íµµ(gpm),±â¿Â(¡ÆC),ÀÌœœÁ¡¿Âµµ(¡ÆC),Ç³Çâ(deg),Ç³ŒÓ(knot),Áö»ó FLAG(null),±Ç°èžé FLAG(null),ÃÖŽëÇ³ FLAG(null)
47090,2011-02-16 18:00,820.0,,,,230.0,10.0,0,0,0,
47090,2011-02-16 18:00,833.0,,-2.9,-37.9,,,0,0,0,
47090,2011-02-16 18:00,838.0,,,,265.0,11.0,0,0,0,
47090,2011-02-16 18:00,850.0,1474.0,-3.7,-27.7,250.0,13.0,0,0,0,
47090,2011-02-16 18:00,856.0,,,,245.0,14.0,0,0,0,
47090,2011-02-16 18:00,857.0,,-3.9,-24.9,,,0,0,0,
47090,2011-02-16 18:00,880.0,,,,250.0,10.0,0,0,0,
47090,2011-02-16 18:00,894.0,,,,220.0,10.0,0,0,0,
47090,2011-02-16 18:00,925.0,803.0,0.8,-20.2,210.0,3.0,0,0,0,
47090,2011-02-16 18:00,973.0,,3.8,-17.2,,,0,0,0,
47090,2011-02-16 18:00,1000.0,172.0,4.0,-8.0,155.0,5.0,0,0,0,
47090,2011-02-16 18:00,1003.0,,4.2,-7.8,,,0,0,0,
47090,2011-02-16 18:00,1019.0,,1.6,-3.3,290.0,2.0,1,0,0,
47090,2011-02-17 00:00,8.6,,-43.7,-79.7,280.0,47.0,0,0,0,
47090,2011-02-17 00:00,9.3,,,,275.0,49.0,0,0,0,
47090,2011-02-17 00:00,9.6,,-45.7,-80.7,,,0,0,0,
47090,2011-02-17 00:00,10.0,30740.0,-44.5,-80.5,250.0,45.0,0,0,0,
47090,2011-02-17 00:00,10.5,,-43.5,-79.5,,,0,0,0,
47090,2011-02-17 00:00,10.6,,,,240.0,35.0,0,0,0,
47090,2011-02-17 00:00,11.0,,,,260.0,39.0,0,0,0,
47090,2011-02-17 00:00,11.3,,-47.3,-82.3,,,0,0,0,
47090,2011-02-17 00:00,11.4,,,,250.0,36.0,0,0,0,
47090,2011-02-17 00:00,11.7,,,,265.0,31.0,0,0,0,
47090,2011-02-17 00:00,11.9,,,,270.0,35.0,0,0,0,
47090,2011-02-17 00:00,13.0,,,,280.0,53.0,0,0,0,
47090,2011-02-17 00:00,13.6,,,,260.0,43.0,0,0,0,
47090,2011-02-17 00:00,14.8,,,,265.0,39.0,0,0,0,
47090,2011-02-17 00:00,15.8,,,,255.0,55.0,0,0,0,
47090,2011-02-17 00:00,15.9,,-53.1,-86.1,,,0,0,0,
47090,2011-02-17 00:00,16.6,,,,240.0,51.0,0,0,0,
47090,2011-02-17 00:00,17.5,,,,250.0,38.0,0,0,0,
47090,2011-02-17 00:00,18.3,,-50.9,-84.9,,,0,0,0,
47090,2011-02-17 00:00,20.0,26210.0,-52.5,-85.5,245.0,36.0,0,0,0,
47090,2011-02-17 00:00,21.2,,,,235.0,35.0,0,0,0,
47090,2011-02-17 00:00,22.0,,,,260.0,32.0,0,0,0,
47090,2011-02-17 00:00,23.8,,,,260.0,35.0,0,0,0,
47090,2011-02-17 00:00,23.9,,-53.9,-86.9,,,0,0,0,
47090,2011-02-17 00:00,27.7,,,,235.0,31.0,0,0,0,
47090,2011-02-17 00:00,30.0,23590.0,-53.3,-86.3,265.0,27.0,0,0,0,
47090,2011-02-17 00:00,30.1,,,,265.0,27.0,0,0,0,
47090,2011-02-17 00:00,30.8,,-52.5,-85.5,,,0,0,0,
47090,2011-02-17 00:00,31.3,,,,260.0,33.0,0,0,0,
47090,2011-02-17 00:00,32.7,,,,275.0,25.0,0,0,0,
47090,2011-02-17 00:00,34.4,,,,260.0,32.0,0,0,0,
47090,2011-02-17 00:00,35.4,,-53.7,-86.7,,,0,0,0,
47090,2011-02-17 00:00,35.9,,,,280.0,32.0,0,0,0,
47090,2011-02-17 00:00,38.1,,,,245.0,26.0,0,0,0,
47090,2011-02-17 00:00,38.8,,,,255.0,24.0,0,0,0,
47090,2011-02-17 00:00,39.7,,-59.1,-90.1,265.0,27.0,0,1,0,
47090,2011-02-17 00:00,39.9,,,,270.0,28.0,0,0,0,
47090,2011-02-17 00:00,44.4,,,,275.0,38.0,0,0,0,
47090,2011-02-17 00:00,44.5,,-54.7,-87.7,,,0,0,0,
47090,2011-02-17 00:00,45.6,,,,265.0,40.0,0,0,0,
47090,2011-02-17 00:00,46.8,,,,255.0,39.0,0,0,0,
47090,2011-02-17 00:00,48.2,,,,260.0,33.0,0,0,0,
47090,2011-02-17 00:00,49.3,,,,270.0,42.0,0,0,0,
47090,2011-02-17 00:00,50.0,20340.0,-60.7,-91.7,265.0,48.0,0,0,0,
47090,2011-02-17 00:00,50.8,,,,260.0,49.0,0,0,0,
47090,2011-02-17 00:00,51.8,,-61.3,-92.3,,,0,0,0,
47090,2011-02-17 00:00,52.6,,,,250.0,43.0,0,0,0,
47090,2011-02-17 00:00,56.9,,,,260.0,35.0,0,0,0,
47090,2011-02-17 00:00,63.2,,,,265.0,42.0,0,0,0,
47090,2011-02-17 00:00,65.1,,-55.7,-87.7,,,0,0,0,
47090,2011-02-17 00:00,69.0,,-59.3,-90.3,260.0,49.0,0,0,0,
47090,2011-02-17 00:00,70.0,18220.0,-58.7,-89.7,260.0,46.0,0,0,0,
47090,2011-02-17 00:00,72.7,,,,260.0,37.0,0,0,0,
47090,2011-02-17 00:00,75.4,,,,270.0,44.0,0,0,0,
47090,2011-02-17 00:00,75.9,,-57.5,-89.5,,,0,0,0,
47090,2011-02-17 00:00,80.8,,,,255.0,63.0,0,0,1,
47090,2011-02-17 00:00,81.3,,-59.7,-90.7,,,0,0,0,
47090,2011-02-17 00:00,87.0,,-56.9,-87.9,,,0,0,0,
47090,2011-02-17 00:00,89.6,,,,255.0,43.0,0,0,0,
47090,2011-02-17 00:00,94.2,,,,275.0,51.0,0,0,0,
47090,2011-02-17 00:00,100.0,15980.0,-58.5,-88.5,275.0,63.0,0,0,0,
47090,2011-02-17 00:00,137.0,,,,270.0,88.0,0,0,1,
47090,2011-02-17 00:00,150.0,13430.0,-57.5,-87.5,265.0,71.0,0,0,0,
47090,2011-02-17 00:00,156.0,,,,265.0,66.0,0,0,0,
47090,2011-02-17 00:00,170.0,,-56.3,-85.3,,,0,0,0,
47090,2011-02-17 00:00,200.0,11610.0,-58.9,-81.9,265.0,75.0,0,0,0,
47090,2011-02-17 00:00,204.0,,,,265.0,77.0,0,0,0,
47090,2011-02-17 00:00,208.0,,-58.7,-78.7,,,0,0,0,
47090,2011-02-17 00:00,221.0,,,,265.0,65.0,0,0,0,
47090,2011-02-17 00:00,226.0,,-61.1,-71.1,275.0,73.0,0,1,0,
47090,2011-02-17 00:00,250.0,10220.0,-58.5,-64.5,275.0,97.0,0,0,0,
47090,2011-02-17 00:00,251.0,,-58.5,-64.5,,,0,0,0,
47090,2011-02-17 00:00,270.0,,-54.1,-59.1,,,0,0,0,
47090,2011-02-17 00:00,271.0,,,,275.0,105.0,0,0,1,
47090,2011-02-17 00:00,289.0,,-50.3,-63.3,,,0,0,0,
47090,2011-02-17 00:00,300.0,9040.0,-48.1,-64.1,270.0,88.0,0,0,0,
47090,2011-02-17 00:00,341.0,,-42.1,-65.1,,,0,0,0,
47090,2011-02-17 00:00,347.0,,-42.9,-57.9,,,0,0,0,
47090,2011-02-17 00:00,379.0,,,,255.0,48.0,0,0,0,
47090,2011-02-17 00:00,399.0,,-34.1,-54.1,,,0,0,0,
47090,2011-02-17 00:00,400.0,7090.0,-33.9,-52.9,255.0,48.0,0,0,0,
47090,2011-02-17 00:00,445.0,,-28.5,-35.5,,,0,0,0,
47090,2011-02-17 00:00,477.0,,-24.1,-37.1,,,0,0,0,
47090,2011-02-17 00:00,487.0,,-23.1,-29.1,,,0,0,0,
47090,2011-02-17 00:00,500.0,5490.0,-21.7,-26.7,255.0,41.0,0,0,0,
47090,2011-02-17 00:00,517.0,,-20.1,-26.1,,,0,0,0,
47090,2011-02-17 00:00,532.0,,,,260.0,37.0,0,0,0,
47090,2011-02-17 00:00,555.0,,-17.7,-18.8,,,0,0,0,
47090,2011-02-17 00:00,628.0,,-12.9,-15.2,,,0,0,0,
47090,2011-02-17 00:00,640.0,,,,245.0,34.0,0,0,0,
47090,2011-02-17 00:00,700.0,2949.0,-10.7,-12.1,240.0,26.0,0,0,0,
47090,2011-02-17 00:00,702.0,,,,240.0,27.0,0,0,0,
47090,2011-02-17 00:00,734.0,,,,260.0,21.0,0,0,0,
47090,2011-02-17 00:00,758.0,,-8.9,-9.1,,,0,0,0,
47090,2011-02-17 00:00,760.0,,,,240.0,18.0,0,0,0,
47090,2011-02-17 00:00,765.0,,-9.7,-10.0,,,0,0,0,
47090,2011-02-17 00:00,776.0,,,,255.0,16.0,0,0,0,
47090,2011-02-17 00:00,812.0,,,,245.0,14.0,0,0,0,
47090,2011-02-17 00:00,835.0,,,,215.0,10.0,0,0,0,
47090,2011-02-17 00:00,850.0,1444.0,-5.9,-6.8,240.0,6.0,0,0,0,
47090,2011-02-17 00:00,925.0,778.0,-3.5,-5.8,240.0,3.0,0,0,0,
47090,2011-02-17 00:00,940.0,,-3.1,-6.4,,,0,0,0,
47090,2011-02-17 00:00,1000.0,157.0,-0.3,-2.0,95.0,2.0,0,0,0,
47090,2011-02-17 00:00,1017.0,,1.2,-0.6,0.0,0.0,1,0,0,
47090,2011-02-17 06:00,8.9,,-45.1,-80.1,270.0,41.0,0,0,0,
47090,2011-02-17 06:00,10.0,30750.0,-46.3,-81.3,280.0,52.0,0,0,0,
47090,2011-02-17 06:00,10.1,,,,275.0,53.0,0,0,0,
47090,2011-02-17 06:00,10.7,,-49.5,-83.5,,,0,0,0,
47090,2011-02-17 06:00,11.1,,,,255.0,35.0,0,0,0,
47090,2011-02-17 06:00,11.7,,,,275.0,31.0,0,0,0,
47090,2011-02-17 06:00,12.2,,-46.9,-81.9,,,0,0,0,
47090,2011-02-17 06:00,13.3,,-50.3,-84.3,255.0,50.0,0,0,0,
47090,2011-02-17 06:00,15.3,,,,250.0,40.0,0,0,0,
47090,2011-02-17 06:00,15.9,,,,265.0,44.0,0,0,0,
47090,2011-02-17 06:00,16.5,,,,255.0,38.0,0,0,0,
47090,2011-02-17 06:00,17.1,,,,270.0,32.0,0,0,0,
47090,2011-02-17 06:00,17.5,,,,280.0,38.0,0,0,0,
47090,2011-02-17 06:00,18.0,,,,275.0,45.0,0,0,0,
47090,2011-02-17 06:00,19.6,,-53.3,-86.3,,,0,0,0,
47090,2011-02-17 06:00,20.0,26220.0,-52.3,-85.3,270.0,41.0,0,0,0,
47090,2011-02-17 06:00,23.0,,-50.3,-84.3,,,0,0,0,
47090,2011-02-17 06:00,23.3,,,,250.0,40.0,0,0,0,
47090,2011-02-17 06:00,27.0,,,,260.0,46.0,0,0,0,
47090,2011-02-17 06:00,30.0,23600.0,-55.1,-87.1,245.0,42.0,0,0,0,
47090,2011-02-17 06:00,31.6,,,,240.0,38.0,0,0,0,
47090,2011-02-17 06:00,32.7,,-56.5,-88.5,,,0,0,0,
47090,2011-02-17 06:00,32.8,,,,235.0,25.0,0,0,0,
47090,2011-02-17 06:00,33.9,,,,250.0,18.0,0,0,0,
47090,2011-02-17 06:00,38.5,,,,270.0,35.0,0,0,0,
47090,2011-02-17 06:00,39.0,,-54.1,-87.1,,,0,0,0,
47090,2011-02-17 06:00,40.3,,,,255.0,43.0,0,0,0,
47090,2011-02-17 06:00,43.0,,,,235.0,35.0,0,0,0,
47090,2011-02-17 06:00,44.3,,,,255.0,28.0,0,0,0,
47090,2011-02-17 06:00,46.8,,-59.1,-90.1,,,0,0,0,
47090,2011-02-17 06:00,47.3,,,,265.0,37.0,0,0,0,
47090,2011-02-17 06:00,50.0,20360.0,-57.9,-89.9,265.0,41.0,0,0,0,
47090,2011-02-17 06:00,53.7,,-56.1,-88.1,,,0,0,0,
47090,2011-02-17 06:00,57.2,,,,275.0,39.0,0,0,0,
47090,2011-02-17 06:00,59.9,,-59.3,-90.3,,,0,0,0,
47090,2011-02-17 06:00,61.5,,,,260.0,48.0,0,0,0,
47090,2011-02-17 06:00,65.0,,,,255.0,50.0,0,0,0,
47090,2011-02-17 06:00,65.7,,-56.5,-87.5,,,0,0,0,
47090,2011-02-17 06:00,66.9,,,,265.0,51.0,0,0,0,
47090,2011-02-17 06:00,70.0,18230.0,-58.1,-88.1,260.0,52.0,0,0,0,
47090,2011-02-17 06:00,70.2,,,,260.0,51.0,0,0,0,
47090,2011-02-17 06:00,71.6,,,,265.0,50.0,0,0,0,
47090,2011-02-17 06:00,75.0,,,,280.0,70.0,0,0,0,
47090,2011-02-17 06:00,79.9,,,,270.0,65.0,0,0,0,
47090,2011-02-17 06:00,87.4,,-61.1,-89.1,265.0,82.0,0,0,0,
47090,2011-02-17 06:00,93.5,,-57.9,-86.9,,,0,0,0,
47090,2011-02-17 06:00,100.0,16000.0,-59.5,-88.5,255.0,73.0,0,0,0,
47090,2011-02-17 06:00,111.0,,-60.1,-89.1,265.0,71.0,0,1,0,
47090,2011-02-17 06:00,124.0,,,,270.0,89.0,0,0,1,
47090,2011-02-17 06:00,132.0,,,,270.0,77.0,0,0,0,
47090,2011-02-17 06:00,150.0,13440.0,-54.9,-85.9,265.0,76.0,0,0,0,
47090,2011-02-17 06:00,168.0,,-53.1,-84.1,,,0,0,0,
47090,2011-02-17 06:00,171.0,,,,260.0,85.0,0,0,0,
47090,2011-02-17 06:00,193.0,,,,265.0,73.0,0,0,0,
47090,2011-02-17 06:00,200.0,11600.0,-56.3,-81.3,260.0,78.0,0,0,0,
47090,2011-02-17 06:00,206.0,,,,250.0,81.0,0,0,0,
47090,2011-02-17 06:00,242.0,,,,255.0,86.0,0,0,0,
47090,2011-02-17 06:00,246.0,,-57.3,-70.3,255.0,84.0,0,1,0,
47090,2011-02-17 06:00,250.0,10180.0,-56.9,-70.9,250.0,82.0,0,0,0,
47090,2011-02-17 06:00,289.0,,-50.9,-75.9,,,0,0,0,
47090,2011-02-17 06:00,294.0,,,,245.0,72.0,0,0,0,
47090,2011-02-17 06:00,300.0,9000.0,-48.7,-74.7,245.0,70.0,0,0,0,
47090,2011-02-17 06:00,345.0,,,,255.0,59.0,0,0,0,
47090,2011-02-17 06:00,399.0,,,,260.0,67.0,0,0,0,
47090,2011-02-17 06:00,400.0,7040.0,-31.5,-66.5,260.0,67.0,0,0,0,
47090,2011-02-17 06:00,426.0,,-28.5,-69.5,,,0,0,0,
47090,2011-02-17 06:00,441.0,,-29.7,-63.7,,,0,0,0,
47090,2011-02-17 06:00,491.0,,-24.7,-57.7,,,0,0,0,
47090,2011-02-17 06:00,493.0,,,,260.0,45.0,0,0,0,
47090,2011-02-17 06:00,500.0,5440.0,-24.3,-59.3,265.0,43.0,0,0,0,
47090,2011-02-17 06:00,534.0,,-23.1,-48.1,,,0,0,0,
47090,2011-02-17 06:00,537.0,,-23.7,-38.7,,,0,0,0,
47090,2011-02-17 06:00,548.0,,,,280.0,30.0,0,0,0,
47090,2011-02-17 06:00,565.0,,,,270.0,29.0,0,0,0,
47090,2011-02-17 06:00,575.0,,-20.1,-27.1,,,0,0,0,
47090,2011-02-17 06:00,590.0,,-18.7,-32.7,,,0,0,0,
47090,2011-02-17 06:00,597.0,,,,290.0,28.0,0,0,0,
47090,2011-02-17 06:00,602.0,,-17.7,-28.7,,,0,0,0,
47090,2011-02-17 06:00,606.0,,-17.9,-22.4,,,0,0,0,
47090,2011-02-17 06:00,616.0,,,,285.0,26.0,0,0,0,
47090,2011-02-17 06:00,638.0,,-17.1,-20.5,,,0,0,0,
47090,2011-02-17 06:00,646.0,,-16.5,-25.5,,,0,0,0,
47090,2011-02-17 06:00,658.0,,-15.3,-20.1,,,0,0,0,
47090,2011-02-17 06:00,678.0,,-13.3,-26.3,,,0,0,0,
47090,2011-02-17 06:00,695.0,,-12.3,-20.3,,,0,0,0,
47090,2011-02-17 06:00,700.0,2932.0,-12.9,-15.8,315.0,19.0,0,0,0,
47090,2011-02-17 06:00,702.0,,-12.9,-15.6,,,0,0,0,
47090,2011-02-17 06:00,755.0,,,,320.0,14.0,0,0,0,
47090,2011-02-17 06:00,778.0,,,,350.0,16.0,0,0,0,
47090,2011-02-17 06:00,784.0,,-7.1,-15.1,,,0,0,0,
47090,2011-02-17 06:00,788.0,,-7.5,-29.5,,,0,0,0,
47090,2011-02-17 06:00,796.0,,-7.9,-33.9,,,0,0,0,
47090,2011-02-17 06:00,806.0,,-8.1,-32.1,,,0,0,0,
47090,2011-02-17 06:00,812.0,,-8.7,-15.7,,,0,0,0,
47090,2011-02-17 06:00,820.0,,-8.1,-17.1,,,0,0,0,
47090,2011-02-17 06:00,843.0,,,,300.0,13.0,0,0,0,
47090,2011-02-17 06:00,850.0,1429.0,-5.9,-10.0,305.0,11.0,0,0,0,
47090,2011-02-17 06:00,855.0,,-5.9,-7.3,,,0,0,0,
47090,2011-02-17 06:00,859.0,,,,310.0,11.0,0,0,0,
47090,2011-02-17 06:00,865.0,,-5.3,-13.3,,,0,0,0,
47090,2011-02-17 06:00,875.0,,,,340.0,15.0,0,0,0,
47090,2011-02-17 06:00,890.0,,-3.7,-16.7,,,0,0,0,
47090,2011-02-17 06:00,893.0,,,,345.0,21.0,0,0,0,
47090,2011-02-17 06:00,894.0,,-4.1,-21.1,,,0,0,0,
47090,2011-02-17 06:00,905.0,,-5.3,-12.3,,,0,0,0,
47090,2011-02-17 06:00,925.0,764.0,-4.5,-7.0,330.0,7.0,0,0,0,
47090,2011-02-17 06:00,931.0,,-4.5,-6.2,,,0,0,0,
47090,2011-02-17 06:00,1000.0,145.0,0.2,-5.8,335.0,8.0,0,0,0,
47090,2011-02-17 06:00,1015.0,,0.8,-5.2,320.0,3.0,1,0,0,
47090,2011-02-18 12:00,8.8,,-43.9,-79.9,240.0,41.0,0,0,0,
47090,2011-02-18 12:00,9.4,,,,240.0,41.0,0,0,0,
47090,2011-02-18 12:00,9.8,,,,260.0,35.0,0,0,0,
47090,2011-02-18 12:00,10.0,30740.0,-44.7,-79.7,265.0,39.0,0,0,0,
47090,2011-02-18 12:00,10.9,,,,265.0,51.0,0,0,0,
47090,2011-02-18 12:00,11.5,,,,250.0,48.0,0,0,0,
47090,2011-02-18 12:00,12.1,,,,255.0,41.0,0,0,0,
47090,2011-02-18 12:00,12.7,,,,270.0,49.0,0,0,0,
47090,2011-02-18 12:00,13.2,,,,255.0,48.0,0,0,0,
47090,2011-02-18 12:00,13.6,,-50.1,-84.1,,,0,0,0,
47090,2011-02-18 12:00,14.2,,,,270.0,55.0,0,0,0,
47090,2011-02-18 12:00,14.6,,,,260.0,57.0,0,0,0,
47090,2011-02-18 12:00,15.1,,-48.5,-82.5,,,0,0,0,
47090,2011-02-18 12:00,16.8,,-55.3,-86.3,255.0,39.0,0,0,0,
47090,2011-02-18 12:00,18.1,,,,255.0,55.0,0,0,0,
47090,2011-02-18 12:00,18.3,,-54.7,-86.7,255.0,54.0,0,1,0,
47090,2011-02-18 12:00,19.6,,,,270.0,43.0,0,0,0,
47090,2011-02-18 12:00,20.0,26220.0,-52.9,-85.9,260.0,42.0,0,0,0,
47090,2011-02-18 12:00,20.4,,,,255.0,41.0,0,0,0,
47090,2011-02-18 12:00,22.5,,,,250.0,54.0,0,0,0,
47090,2011-02-18 12:00,23.1,,,,240.0,51.0,0,0,0,
47090,2011-02-18 12:00,24.4,,-49.9,-83.9,,,0,0,0,
47090,2011-02-18 12:00,26.5,,-53.7,-85.7,,,0,0,0,
47090,2011-02-18 12:00,28.5,,,,245.0,29.0,0,0,0,
47090,2011-02-18 12:00,28.9,,-53.5,-86.5,,,0,0,0,
47090,2011-02-18 12:00,29.8,,,,265.0,33.0,0,0,0,
47090,2011-02-18 12:00,30.0,23590.0,-54.7,-86.7,265.0,34.0,0,0,0,
47090,2011-02-18 12:00,31.0,,,,255.0,35.0,0,0,0,
47090,2011-02-18 12:00,32.2,,,,275.0,37.0,0,0,0,
47090,2011-02-18 12:00,36.0,,,,260.0,42.0,0,0,0,
47090,2011-02-18 12:00,39.9,,,,230.0,15.0,0,0,0,
47090,2011-02-18 12:00,40.7,,,,255.0,11.0,0,0,0,
47090,2011-02-18 12:00,41.0,,-57.7,-88.7,,,0,0,0,
47090,2011-02-18 12:00,41.3,,,,270.0,14.0,0,0,0,
47090,2011-02-18 12:00,43.9,,,,295.0,23.0,0,0,0,
47090,2011-02-18 12:00,44.3,,-55.1,-87.1,,,0,0,0,
47090,2011-02-18 12:00,46.6,,,,300.0,31.0,0,0,0,
47090,2011-02-18 12:00,48.0,,-55.7,-87.7,,,0,0,0,
47090,2011-02-18 12:00,48.4,,,,290.0,41.0,0,0,0,
47090,2011-02-18 12:00,49.4,,-60.5,-90.5,,,0,0,0,
47090,2011-02-18 12:00,50.0,20350.0,-59.9,-89.9,270.0,41.0,0,0,0,
47090,2011-02-18 12:00,54.1,,-60.5,-90.5,,,0,0,0,
47090,2011-02-18 12:00,57.5,,,,240.0,52.0,0,0,0,
47090,2011-02-18 12:00,58.1,,-58.3,-89.3,,,0,0,0,
47090,2011-02-18 12:00,63.0,,,,245.0,32.0,0,0,0,
47090,2011-02-18 12:00,64.4,,,,260.0,30.0,0,0,0,
47090,2011-02-18 12:00,66.8,,,,280.0,39.0,0,0,0,
47090,2011-02-18 12:00,68.1,,-61.3,-90.3,,,0,0,0,
47090,2011-02-18 12:00,70.0,18240.0,-60.7,-89.7,260.0,48.0,0,0,0,
47090,2011-02-18 12:00,74.3,,,,255.0,58.0,0,0,0,
47090,2011-02-18 12:00,76.8,,-60.9,-90.9,,,0,0,0,
47090,2011-02-18 12:00,82.9,,-56.9,-88.9,,,0,0,0,
47090,2011-02-18 12:00,84.0,,,,280.0,40.0,0,0,0,
47090,2011-02-18 12:00,87.9,,,,285.0,56.0,0,0,0,
47090,2011-02-18 12:00,100.0,16000.0,-60.5,-89.5,270.0,73.0,0,0,0,
47090,2011-02-18 12:00,112.0,,,,275.0,57.0,0,0,0,
47090,2011-02-18 12:00,125.0,,,,275.0,76.0,0,0,0,
47090,2011-02-18 12:00,138.0,,,,270.0,67.0,0,0,0,
47090,2011-02-18 12:00,146.0,,-53.1,-86.1,,,0,0,0,
47090,2011-02-18 12:00,150.0,13430.0,-53.3,-85.3,280.0,84.0,0,0,0,
47090,2011-02-18 12:00,185.0,,-51.5,-83.5,,,0,0,0,
47090,2011-02-18 12:00,191.0,,,,275.0,88.0,0,0,1,
47090,2011-02-18 12:00,199.0,,-53.9,-78.9,,,0,0,0,
47090,2011-02-18 12:00,200.0,11580.0,-53.9,-78.9,275.0,80.0,0,0,0,
47090,2011-02-18 12:00,216.0,,-51.5,-75.5,,,0,0,0,
47090,2011-02-18 12:00,236.0,,,,280.0,86.0,0,0,0,
47090,2011-02-18 12:00,250.0,10140.0,-55.1,-71.1,280.0,68.0,0,0,0,
47090,2011-02-18 12:00,256.0,,-55.7,-71.7,285.0,74.0,0,1,0,
47090,2011-02-18 12:00,274.0,,,,285.0,79.0,0,0,0,
47090,2011-02-18 12:00,287.0,,-50.5,-69.5,,,0,0,0,
47090,2011-02-18 12:00,293.0,,-50.3,-67.3,280.0,73.0,0,0,0,
47090,2011-02-18 12:00,300.0,8960.0,-49.3,-68.3,280.0,71.0,0,0,0,
47090,2011-02-18 12:00,333.0,,-44.9,-66.9,,,0,0,0,
47090,2011-02-18 12:00,342.0,,,,285.0,59.0,0,0,0,
47090,2011-02-18 12:00,400.0,7030.0,-37.9,-58.9,295.0,61.0,0,0,0,
47090,2011-02-18 12:00,487.0,,-30.1,-49.1,,,0,0,0,
47090,2011-02-18 12:00,500.0,5460.0,-28.5,-49.5,305.0,50.0,0,0,0,
47090,2011-02-18 12:00,608.0,,-18.5,-37.5,,,0,0,0,
47090,2011-02-18 12:00,639.0,,-15.9,-36.9,,,0,0,0,
47090,2011-02-18 12:00,671.0,,-14.9,-47.9,,,0,0,0,
47090,2011-02-18 12:00,700.0,2968.0,-12.5,-45.5,320.0,37.0,0,0,0,
47090,2011-02-18 12:00,755.0,,-7.7,-47.7,,,0,0,0,
47090,2011-02-18 12:00,757.0,,,,330.0,35.0,0,0,0,
47090,2011-02-18 12:00,772.0,,-9.7,-39.7,,,0,0,0,
47090,2011-02-18 12:00,822.0,,-7.9,-30.9,,,0,0,0,
47090,2011-02-18 12:00,833.0,,-10.9,-13.3,,,0,0,0,
47090,2011-02-18 12:00,834.0,,,,350.0,10.0,0,0,0,
47090,2011-02-18 12:00,844.0,,,,35.0,4.0,0,0,0,
47090,2011-02-18 12:00,845.0,,-11.3,-11.7,,,0,0,0,
47090,2011-02-18 12:00,850.0,1469.0,-10.9,-11.2,60.0,4.0,0,0,0,
47090,2011-02-18 12:00,925.0,812.0,-5.5,-6.4,60.0,6.0,0,0,0,
47090,2011-02-18 12:00,1000.0,193.0,0.0,-6.0,310.0,5.0,0,0,0,
47090,2011-02-18 12:00,1014.0,,0.8,-6.2,,,0,0,0,
47090,2011-02-18 12:00,1022.0,,-0.1,-6.1,290.0,3.0,1,0,0,
47090,2011-02-18 18:00,8.5,,-44.5,-80.5,260.0,37.0,0,0,0,
47090,2011-02-18 18:00,10.0,30730.0,-47.1,-82.1,270.0,51.0,0,0,0,
47090,2011-02-18 18:00,10.2,,,,270.0,56.0,0,0,0,
47090,2011-02-18 18:00,10.7,,,,265.0,50.0,0,0,0,
47090,2011-02-18 18:00,11.1,,,,280.0,50.0,0,0,0,
47090,2011-02-18 18:00,11.7,,,,270.0,61.0,0,0,1,
47090,2011-02-18 18:00,12.1,,-51.5,-84.5,,,0,0,0,
47090,2011-02-18 18:00,12.9,,,,280.0,60.0,0,0,0,
47090,2011-02-18 18:00,13.8,,,,260.0,60.0,0,0,0,
47090,2011-02-18 18:00,17.4,,,,250.0,51.0,0,0,0,
47090,2011-02-18 18:00,17.5,,-50.1,-84.1,,,0,0,0,
47090,2011-02-18 18:00,18.5,,,,255.0,46.0,0,0,0,
47090,2011-02-18 18:00,20.0,26210.0,-52.3,-85.3,270.0,50.0,0,0,0,
47090,2011-02-18 18:00,22.1,,,,275.0,56.0,0,0,0,
47090,2011-02-18 18:00,24.3,,,,250.0,39.0,0,0,0,
47090,2011-02-18 18:00,24.4,,-53.9,-86.9,,,0,0,0,
47090,2011-02-18 18:00,25.1,,,,255.0,35.0,0,0,0,
47090,2011-02-18 18:00,26.0,,,,265.0,41.0,0,0,0,
47090,2011-02-18 18:00,27.1,,,,250.0,41.0,0,0,0,
47090,2011-02-18 18:00,29.3,,,,265.0,43.0,0,0,0,
47090,2011-02-18 18:00,29.5,,-52.1,-85.1,,,0,0,0,
47090,2011-02-18 18:00,30.0,23590.0,-53.1,-86.1,255.0,46.0,0,0,0,
47090,2011-02-18 18:00,31.2,,,,245.0,42.0,0,0,0,
47090,2011-02-18 18:00,32.4,,,,265.0,39.0,0,0,0,
47090,2011-02-18 18:00,32.5,,-56.1,-88.1,,,0,0,0,
47090,2011-02-18 18:00,33.9,,,,245.0,29.0,0,0,0,
47090,2011-02-18 18:00,36.7,,,,255.0,24.0,0,0,0,
47090,2011-02-18 18:00,38.3,,-56.5,-88.5,,,0,0,0,
47090,2011-02-18 18:00,41.0,,-53.9,-86.9,,,0,0,0,
47090,2011-02-18 18:00,41.2,,,,260.0,41.0,0,0,0,
47090,2011-02-18 18:00,46.4,,,,240.0,29.0,0,0,0,
47090,2011-02-18 18:00,46.6,,-58.5,-89.5,,,0,0,0,
47090,2011-02-18 18:00,48.2,,,,260.0,21.0,0,0,0,
47090,2011-02-18 18:00,50.0,20340.0,-56.7,-88.7,270.0,26.0,0,0,0,
47090,2011-02-18 18:00,50.3,,-56.7,-88.7,,,0,0,0,
